"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the django charm with database migration enabled.
    act: access an endpoint requiring database.
    assert: request succeed.
    ","742","test_django_database_migration","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","335","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: build and deploy the go charm.
    act: send a request to the go application managed by the go charm.
    assert: the go application should return a correct response.
    ","272","test_go_is_up","tests.integration.go","2026-07-18","passed","2026-07-18","","test_go","",""
"
    arrange: build and deploy the ExpressJS charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the ExpressJS application should add the user only once.
    ","246","test_migration","tests.integration.expressjs","2026-07-18","passed","2026-07-18","","test_expressjs","",""
"
    arrange: build and deploy the ExpressJS charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","213","test_expressjs_is_up","tests.integration.expressjs","2026-07-18","passed","2026-07-18","","test_expressjs","",""
"
    arrange: build and deploy the django charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the django application managed by the django charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","5569","test_django_webserver_timeout[timeout=3]","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","151067","test_rabbitmq_server_integration[spring_boot_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm.
    act: run rotate-secret-key action on the leader unit.
    assert: Flask applications on every unit should have a new secret key configured.
    ","10750","test_rotate_secret_key","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","66480","test_workload_tracing[fastapi_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","103936","test_s3_integration[spring_boot_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_s3","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","49165","test_prometheus_integration[spring_boot_app-8080-/actuator/prometheus]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_prometheus","",""
"
    arrange: build and deploy the flask charm.
    act: add a unit and request env variables through the unit IP addresses.
    assert: the peer address must be present in the units' env.
    ","107542","test_app_peer_address","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","98466","test_non_optional[django]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_config","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the redis database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","53928","test_with_redis[flask_app-8000-redis/status]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_redis","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","45765","test_non_root_db_migration[Flask non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_db_migration","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","39049","test_non_optional[fastapi]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_config","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","199","test_flask_config[env]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","53275","test_grafana_integration[fastapi_app-FastAPI Operator]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_grafana","",""
"
    arrange: build and deploy the flask charm, and change secret configurations.
    act: query flask environment variables from the Flask server.
    assert: the flask environment variables should match secret configuration values.
    ","199","test_flask_secret_config[user-secret]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","78954","test_non_root_loki_integration[Flask non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_loki","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","50696","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_db_migration","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","47109","test_non_root_db_migration[Django non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_db_migration","",""
"
    arrange: Django is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","5597","test_async_workers","tests.integration.django","2026-07-18","passed","2026-07-18","","test_workers","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","50018","test_prometheus_integration[flask_app-9102-/metrics]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_prometheus","",""
"
    arrange: build and deploy the django charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the django application managed by the django charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","13522","test_django_webserver_timeout[timeout=7]","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: build and deploy the go charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","5858","test_user_defined_config","tests.integration.go","2026-07-18","passed","2026-07-18","","test_go","",""
"
    arrange: Deploy 12-factor app and http proxy configurator correctly configured.
    act: Relate the http proxy configurator with the 12-factor app.
    assert: The correct proxy env vars from the relation are set in the 12-factor app.
    ","74757","test_proxy_integration[flask_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_http_proxy","",""
